代码,名称,县(区、市、旗),地区(市、州、盟),省(自治区、直辖市),中心经度(度),中心经度(分),中心经度(秒),中心纬度(度),中心纬度(分),中心纬度(秒),8.行业类别_代码,14.工业总产值（万元）,10.企业规模
520101000000G121440611000,贵州益佰注射剂制药有限公司,市辖区,贵阳市,贵州省,106,32,21,26,34,23,2720,21524.1,3
520101000000G121440937000,贵州省金西煤矿（西苗井）,市辖区,贵阳市,贵州省,106,32,25,26,34,30,610,0,3
520101000000G121442463400,贵州新型保温材料厂,市辖区,贵阳市,贵州省,106,35,28,26,36,29,3135,890.8,3
520101000000G121445180000,第六砂轮厂,市辖区,贵阳市,贵州省,106,35,31,26,36,32,3199,887.5,3
520101000000G121447003200,贵州水泥厂金粟水泥分厂,市辖区,贵阳市,贵州省,106,35,26,26,54,39,3111,0,2
520101000000G121459513400,贵阳小箐水泥厂,市辖区,贵阳市,贵州省,106,35,31,26,36,39,3111,0,3
520101000000G1520112G0401,贵阳乌当朱昌友祥砂石厂,市辖区,贵阳市,贵州省,106,34,7,26,39,22,1019,160,3
520101000000G1520112G0403,贵阳乌当窦官砂石场,市辖区,贵阳市,贵州省,106,34,27,26,39,22,1019,0,3
520101000000G1520112G0459,贵阳市乌当区振兴砂石厂,市辖区,贵阳市,贵州省,106,37,17,26,39,18,1019,60,3
520101000000G162220113000,贵州华泰药业有限公司,市辖区,贵阳市,贵州省,106,23,28,26,22,9,2740,212.3,3
520101000000G162241606X00,贵州恒霸药业有限责任公司,市辖区,贵阳市,贵州省,106,39,41,26,36,52,2740,1600,2
520101000000G167073986700,贵州兴达兴建材有限公司,市辖区,贵阳市,贵州省,106,30,27,26,39,22,1019,1500,3
520101000000G167544060200,贵阳市金阳新区朱昌镇富宏煤矿,市辖区,贵阳市,贵州省,106,33,56,26,38,52,610,0,3
520101000000G170950991200,贵阳博达玻璃厂,市辖区,贵阳市,贵州省,106,36,36,26,36,0,3145,600,3
520101000000G171436524700,贵阳永隆金属冶炼厂,市辖区,贵阳市,贵州省,106,39,13,26,39,26,3340,260,3
520101000000G171436549000,贵阳望江金属加工厂,市辖区,贵阳市,贵州省,106,39,12,26,39,28,3340,150,3
520101000000G173096331900,贵阳晶华电子材料有限公司,市辖区,贵阳市,贵州省,106,38,46,26,36,59,3199,667,3
