代码,11.代码（处理方法）,13.代码（处理的主要污染物）,14.处理效率（%）（处理的主要污染物）,11.代码（处理方法）,16.代码（处理的主要污染物）,17.处理效率（%）（处理的主要污染物）,11.代码（处理方法）,19.代码（处理的主要污染物）,20.处理效率（%）（处理的主要污染物）
520101000000G178019289000,J2,2100,91,J2,,,J2,,
520102000000G121440086X00,e,2100,98,e,,,e,,
520102000000G121447003200,E,2100,98,E,,,E,,
520102000000G121447003200,D,2100,98,D,,,D,,
520102000000G121447003200,E,2100,99.5,E,,,E,,
520102000000G121447003200,E,2100,99.5,E,,,E,,
520102000000G121447003200,E,2100,99.5,E,,,E,,
520102000000G121447003200,E,2100,99.5,E,,,E,,
520102000000G121447003200,E,2100,99.5,E,,,E,,
520102000000G121447003200,E,2100,99.5,E,,,E,,
520102000000G121447003200,E,2100,99.5,E,,,E,,
520102000000G121447003200,D,2100,98,D,,,D,,
520102000000G121447003200,E,2100,99.5,E,,,E,,
520102000000G121447003200,E,2100,99.5,E,,,E,,
520102000000G121447003200,E,2100,99.5,E,,,E,,
520102000000G121447003200,E,2100,99.5,E,,,E,,
520102000000G121447003200,E,2100,99.5,E,,,E,,
520102000000G121447003200,E,2100,99.5,E,,,E,,
520102000000G121447003200,E,2100,99.5,E,,,E,,
520102000000G121450285800,E,2099,85,E,,,E,,
520102000000G121450285800,E,2099,90,E,,,E,,
520102000000G162223051300,J3,2099,80,J3,,,J3,,
520102000000G169753060900,J9,2100,90,J9,,,J9,,
520102000000G169753060900,J9,2100,90,J9,,,J9,,
520102000000G169753060900,J9,2100,90,J9,,,J9,,
520102000000G169753060900,J9,2100,90,J9,,,J9,,
520102012008G121440982100,J2,2099,99,J2,,,J2,,
520102012008G121440982100,J2,2099,99.2,J2,,,J2,,
520102013005G121447003200,g,2100,98,g,,,g,,
520102013005G121447003200,e,2100,99.5,e,,,e,,
520102013005G121447003200,e,2100,99.5,e,,,e,,
520102013005G121447003200,e,2100,99.5,e,,,e,,
520102013005G121447003200,E,2100,99.5,E,,,E,,
520102013005G121447003200,e,2100,99.5,e,,,e,,
520102013005G121447003200,e,2100,99.5,e,,,e,,
520102013005G121447003200,d,2100,98.5,d,,,d,,
520102013005G121447003200,e,2100,99.5,e,,,e,,
520102013005G121447003200,e,2100,99.5,e,,,e,,
520102013005G121447003200,e,2100,99.5,e,,,e,,
520102013005G121447003200,e,2100,99.5,e,,,e,,
520102013005G121447003200,e,2100,99.5,e,,,e,,
520102013005G121447003200,e,2100,99.5,e,,,e,,
520102013005G121447003200,e,2100,99.5,e,,,e,,
520102013005G121447003200,e,2100,99.5,e,,,e,,
520102013005G121447003200,e,2100,99.5,e,,,e,,
520102013005G121447003200,e,2100,99.5,e,,,e,,
520102014005G121441275600,J9,2100,99,J9,,,J9,,
520102014005G121441275600,J9,2100,99,J9,,,J9,,
520102014005G121441275600,J9,2100,99,J9,,,J9,,
520102014005G121441275600,J9,2100,99,J9,,,J9,,
520102014005G121445904400,j9,2100,96,j9,,,j9,,
520102014007G121440086x00,e,2100,99.9,e,,,e,,
