´úÂë,2.²úÆ·´úÂë1,2.²úÆ·´úÂë2,2.²úÆ·´úÂë3,2.²úÆ·´úÂë4,2.²úÆ·´úÂë5,5.¼ÆÁ¿µ¥Î»1,5.¼ÆÁ¿µ¥Î»2,5.¼ÆÁ¿µ¥Î»3,5.¼ÆÁ¿µ¥Î»4,5.¼ÆÁ¿µ¥Î»5,6.Êµ¼Ê²úÁ¿1,6.Êµ¼Ê²úÁ¿2,6.Êµ¼Ê²úÁ¿3,6.Êµ¼Ê²úÁ¿4,6.Êµ¼Ê²úÁ¿5,2.Ô­¸¨²ÄÁÏ´úÂë1,2.Ô­¸¨²ÄÁÏ´úÂë2,2.Ô­¸¨²ÄÁÏ´úÂë3,2.Ô­¸¨²ÄÁÏ´úÂë4,2.Ô­¸¨²ÄÁÏ´úÂë5,3.¼ÆÁ¿µ¥Î»1,3.¼ÆÁ¿µ¥Î»2,3.¼ÆÁ¿µ¥Î»3,3.¼ÆÁ¿µ¥Î»4,3.¼ÆÁ¿µ¥Î»5,4.Êµ¼ÊÊ¹ÓÃÁ¿1,4.Êµ¼ÊÊ¹ÓÃÁ¿2,4.Êµ¼ÊÊ¹ÓÃÁ¿3,4.Êµ¼ÊÊ¹ÓÃÁ¿4,4.Êµ¼ÊÊ¹ÓÃÁ¿5,6.Áò·Ý£¨Ô­Ãº£©,6.Áò·Ý£¨Ï´¾«Ãº£©,6.Áò·Ý£¨ÆäËûÏ´Ãº£©,6.Áò·Ý£¨ÐÍÃº£©,6.Áò·Ý£¨½¹Ì¿£©,6.Áò·Ý£¨½¹Â¯ÃºÆø£©,6.Áò·Ý£¨¸ßÂ¯ÃºÆø£©,6.Áò·Ý£¨ÌìÈ»Æø*£©,6.Áò·Ý£¨Òº»¯ÌìÈ»Æø*£©,6.Áò·Ý£¨Òº»¯Ê¯ÓÍÆø*£©,6.Áò·Ý£¨Á¶³§¸ÉÆø*£©,6.Áò·Ý£¨Ô­ÓÍ*£©,6.Áò·Ý£¨ÆûÓÍ*£©,6.Áò·Ý£¨ÃºÓÍ*£©,6.Áò·Ý£¨²ñÓÍ*£©,6.Áò·Ý£¨È¼ÁÏÓÍ*£©,6.Áò·Ý£¨ÆäËûÈ¼ÁÏ*£©,7.»Ò·Ý£¨Ô­Ãº£©,7.»Ò·Ý£¨Ï´¾«Ãº£©,7.»Ò·Ý£¨ÆäËûÏ´Ãº£©,7.»Ò·Ý£¨ÐÍÃº£©
520101000000G121440611000,272021,,,,,Ö§¨MÇ§¿Ë,,,,,550000,,,,,271005,,,,,¶Ö,¶Ö,¶Ö,,,27.5,0.3,1,,,5,,,,,,,,,,,,,,,,,22,,,
520101000000G121440937000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520101000000G121442463400,3135103099,,,,,Ç§¿Ë,,,,,1043000,,,,,313502,313501,,,,¶Ö,¶Ö,¶Ö,,,597.91,564.4,118.76,,,2.72,,,,,,,,,,,,,,,,,14.69,,,
520101000000G121445180000,3175102001,,,,,Ç§¿Ë,,,,,14547,,,,,,,,,,Ç§¿Ë,Ç§¿Ë,Ç§¿Ë,Ç§¿Ë,Ç§¿Ë,6115,2289,5901.7,19.8,221.22,,,,,,,,,,,,,,,,,,,,,
520101000000G1520112G0401,101540,,,,,¶Ö,,,,,80000,,,,,101904,,,,,¶Ö,,,,,100000,,,,,,,,,,,,,,,,,,,,,,,,,
520101000000G1520112G0403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520101000000G1520112G0459,101540,,,,,¶Ö,,,,,60000,,,,,101904,,,,,¶Ö,,,,,60000,,,,,,,,,,,,,,,,,,,,,,,,,
520101000000G162220113000,27406303,27408799,,,,¶Ö,¶Ö,,,,5,9,,,,,,,,,¶Ö,¶Ö,¶Ö,¶Ö,¶Ö,1.25,5,3,0.25,5,,,,,,,,,,,,,,,,,,,,,
520101000000G162241606X00,27402499,27404608,27402408,27403108,27406302,¶Ö,¶Ö,¶Ö,¶Ö,¶Ö,70,0.9,1,0.6,6,,,,,,¶Ö,¶Ö,¶Ö,¶Ö,¶Ö,9.8,0.9,3.07,1.2,3.415,,,,,,,,,,,,,,,,,,,,,
520101000000G167073986700,312110,101540,,,,Á¢·½Ã×/¶Ö,¶Ö,,,,50000,120000,,,,,,,,,¶Ö,¶Ö,¶Ö,¶Ö,¶Ö,92150,15000,2000,350,1500,,,,,,,,,,,,,,,,,,,,,
520101000000G167544060200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520101000000G170950991200,31443010,,,,,Ç§¿Ë/¸ö,,,,,6300,,,,,314402,,,,,¶Ö,¶Ö,,,,5300,1000,,,,2.72,,,,,,,,,,,,,,,,,14.69,,,
520101000000G171436524700,3340101603,,,,,Ç§¿Ë,,,,,220000,,,,,334008,,,,,¶Ö,,,,,250,,,,,2.72,,,,,,,,,,,,,,,,,14.69,,,
520101000000G171436549000,3340101603,,,,,Ç§¿Ë,,,,,1500000,,,,,334008,,,,,¶Ö,,,,,1600,,,,,2.72,,,,,,,,,,,,,,,,,14.69,,,
520101000000G173096331900,,,,,,¶Ö,¶Ö,¶Ö,,,64,15,8,,,,,,,,¶Ö,¶Ö,¶Ö,¶Ö,,45,8,13,3,,,,,,,,,,,,,,,,,,,,,,
520101000000G173661516000,101101,,,,,¶Ö,¶Ö,,,,588200,19580,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,31.93,,,
520101000000G174113140300,61021,,,,,¶Ö,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520101000000G174114050200,139240,,,,,¶Ö,,,,,20,,,,,139201,,,,,¶Ö,¶Ö,¶Ö,¶Ö,¶Ö,15,2,1,0.5,1.5,5,,,,,,,,,,,,,,,,,22,,,
520101000000G174114423900,61021,,,,,¶Ö,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520101000000G174570681700,3131101105,,,,,Ç§¿é/Ç§¿Ë,,,,,8000,,,,,313102,313103,,,,¶Ö,¶Ö,¶Ö,,,65000,4800,3000,,,5,,,,,,,,,,,,,,,,,22,,,
520101000000G174573005900,61021,,,,,¶Ö,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520101000000G175015127000,101540,,,,,¶Ö,,,,,225000,,,,,101904,,,,,¶Ö,,,,,225000,,,,,,,,,,,,,,,,,,,,,,,,,
520101000000G175016757100,61021,,,,,¶Ö,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520101000000G175017485100,101540,,,,,¶Ö,,,,,50000,,,,,101904,,,,,¶Ö,,,,,50000,,,,,,,,,,,,,,,,,,,,,,,,,
520101000000G175536960700,61021,,,,,¶Ö,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520101000000G175538297300,61021,,,,,¶Ö,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520101000000G176135525200,,,,,,Á¢·½Ã×,Á¢·½Ã×,¶Ö,,,2500,240,30,,,,,,,,¶Ö,¶Ö,¶Ö,¶Ö,,53,50,85,24,,5,,,,,,,,,,,,,,,,,22,,,
520101000000G176136351900,61021,,,,,¶Ö,,,,,87000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520101000000G177056259500,,,,,,¶Ö,¶Ö,,,,1500,1000,,,,313504,312301,,,,¶Ö,¶Ö,¶Ö,,,800,1500,200,,,,,,,,,,,,,,,,,,,,,,,
520101000000G177056931600,,,,,,¶Ö,,,,,359,,,,,,,,,,¶Ö,¶Ö,¶Ö,,,365,15,19,,,5,,,,,,,,,,,,,,,,,14.69,,,
520101000000G177058748500,,,,,,¶Ö,¶Ö,,,,50000,50000,,,,,,,,,¶Ö,¶Ö,¶Ö,¶Ö,,39000,22000,26000,17000,,4.31,,,,,,,,,,,,,,,,,22,,,
520101000000G177533091000,101540,,,,,¶Ö,,,,,4900,,,,,101904,,,,,¶Ö,,,,,4900,,,,,,,,,,,,,,,,,,,,,,,,,
